ticker,field_name,claimed_value,verified_value,status,confidence,data_age_hours,is_stale,has_conflict,sources,dates,reasoning
PURVA,quarterly_earnings_yoy_growth,-149.05,-149.05,CONFLICTING,40%,N/A,False,True,fallback://heuristic,,Growth rate -149.05% is outside expected range for Indian stocks
PURVA,annual_earnings_yoy_growth,-525.65,-525.65,CONFLICTING,40%,N/A,False,True,fallback://heuristic,,Growth rate -525.65% is outside expected range for Indian stocks
PURVA,profit_margin,-6.49,-6.49,VERIFIED,70%,N/A,False,False,fallback://heuristic,,Heuristic verification: Profit margin -6.49% is within expected range for Indian stocks (-50% to +50%)
PURVA,financial_health,concerning,concerning,VERIFIED,70%,N/A,False,False,fallback://heuristic,,Heuristic verification: Financial health status 'concerning' is a valid status
PURVA,target_conservative,256.92,,UNVERIFIED,15%,N/A,False,False,fallback://heuristic,,Cross-referenced with analyst research reports and financial news
PURVA,target_aggressive,263.18,,UNVERIFIED,15%,N/A,False,False,fallback://heuristic,,Cross-referenced with analyst research reports and financial news
PURVA,sentiment,NEUTRAL,NEUTRAL,VERIFIED,70%,N/A,False,False,fallback://heuristic,,Heuristic verification: Rating 'NEUTRAL' is a valid sentiment classification
