2025-10-25 17:51:41,543 - INFO - No external AI keys detected; falling back to heuristic scoring.
2025-10-25 17:51:41,546 - INFO - AI provider configured: Heuristic
2025-10-25 17:51:43,235 - INFO - ✅ Frontier AI components loaded
2025-10-25 17:51:43,237 - INFO - 🤖 Real-time AI Analyzer initialized
2025-10-25 17:51:43,238 - INFO - 🚀 Starting real-time collection + analysis for 2993 tickers
2025-10-25 17:51:43,238 - INFO -    Time window: 48 hours
2025-10-25 17:51:43,239 - INFO -    Max articles per ticker: 10
2025-10-25 17:51:43,239 - INFO - [1/2993] Processing 21STCENMGM...
2025-10-25 17:51:43,239 - INFO - 📰 Fetching news for 21STCENMGM (last 48h)
2025-10-25 17:51:35,789 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd74bfa0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 17:51:38,187 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd707640>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 17:51:38,192 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77c670>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 17:51:38,217 - INFO - ℹ️  No recent news for 21STCENMGM
2025-10-25 17:51:38,218 - INFO - [2/2993] Processing A2ZINFRA...
2025-10-25 17:51:38,219 - INFO - 📰 Fetching news for A2ZINFRA (last 48h)
2025-10-25 17:51:43,927 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77d8d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 17:51:43,963 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77df30>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 17:51:44,010 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77e560>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 17:51:44,026 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77eb90>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 17:51:44,039 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77f1c0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 17:51:44,049 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77f7f0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 17:51:44,782 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77fe20>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 17:51:45,130 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77dae0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 17:51:45,167 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77e110>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 17:51:45,215 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77e740>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 17:51:45,238 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77ed70>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 17:51:45,248 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77f3a0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 17:51:45,254 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7823fd77f9d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
