2025-10-25 20:17:51,145 - INFO - No external AI keys detected; falling back to heuristic scoring.
2025-10-25 20:17:51,145 - INFO - AI provider configured: Heuristic
2025-10-25 20:17:58,714 - INFO - ✅ Frontier AI components loaded
2025-10-25 20:17:58,714 - INFO - 🤖 Real-time AI Analyzer initialized
2025-10-25 20:17:58,714 - INFO - 🚀 Starting real-time collection + analysis for 21 tickers
2025-10-25 20:17:58,715 - INFO -    Time window: 48 hours
2025-10-25 20:17:58,715 - INFO -    Max articles per ticker: 10
2025-10-25 20:17:58,715 - INFO - [1/21] Processing RELIANCE...
2025-10-25 20:17:58,715 - INFO - 📰 Fetching news for RELIANCE (last 48h)
2025-10-25 20:17:59,960 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609490c0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:17:59,961 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094a020>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:17:59,974 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60949ea0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:17:59,976 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094a200>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:00,728 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094a830>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:18:02,340 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094aa10>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:18:02,344 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094bd30>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:18:02,359 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094abf0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:18:02,362 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609844c0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:18:02,364 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094add0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:18:02,364 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094afb0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:18:02,376 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094b310>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:18:02,377 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094b190>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:18:02,379 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094b550>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:03,131 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094b730>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:17:57,419 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c6094bee0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:17:57,440 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60984670>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:17:59,821 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60948670>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:17:59,849 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60984790>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:17:59,854 - INFO - ℹ️  No recent news for RELIANCE
2025-10-25 20:17:59,855 - INFO - [2/21] Processing TCS...
2025-10-25 20:17:59,855 - INFO - 📰 Fetching news for TCS (last 48h)
2025-10-25 20:17:59,857 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60984e20>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:17:59,868 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609855d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:17:59,888 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985de0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:17:59,891 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609846a0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:17:59,909 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609870d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:17:59,913 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60987a30>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:00,166 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8340>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:18:00,935 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8970>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:18:01,059 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985240>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:18:01,090 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985780>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:18:01,091 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985fc0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:18:01,105 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60986bf0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:18:01,114 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60987790>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:18:01,115 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60987eb0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:01,368 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8520>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:18:02,136 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8b50>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:18:03,461 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8d30>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:18:03,463 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b9ea0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:18:03,492 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8f10>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:18:03,493 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b8cd0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:18:03,494 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b90f0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:18:03,510 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b92d0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/latest.xml
2025-10-25 20:18:03,515 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b94b0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /market/feed/
2025-10-25 20:18:03,516 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b9690>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feeder/default.rss
2025-10-25 20:18:03,773 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b9870>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
2025-10-25 20:18:04,537 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609b9a50>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/market
2025-10-25 20:18:04,664 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609ba020>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:18:04,695 - WARNING - Retrying (Retry(total=1, connect=1, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609ba3b0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:18:07,065 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985ae0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rssfeeds/?id=0
2025-10-25 20:18:07,097 - WARNING - Retrying (Retry(total=0, connect=0, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609ba590>: Failed to establish a new connection: [Errno -2] Name or service not known')': /feed
2025-10-25 20:18:07,108 - INFO - ℹ️  No recent news for TCS
2025-10-25 20:18:07,109 - INFO - [3/21] Processing HDFCBANK...
2025-10-25 20:18:07,110 - INFO - 📰 Fetching news for HDFCBANK (last 48h)
2025-10-25 20:18:07,123 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bab60>: Failed to establish a new connection: [Errno -2] Name or service not known')': /markets/rssfeeds/1977021501.cms
2025-10-25 20:18:07,130 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bb310>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/markets-106.rss
2025-10-25 20:18:07,136 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c609bbb80>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/MCtopnews.xml
2025-10-25 20:18:07,144 - WARNING - Retrying (Retry(total=2, connect=2, read=3, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x717c60985ae0>: Failed to establish a new connection: [Errno -2] Name or service not known')': /rss/companies
