ticker,company_name,ai_score,certainty,articles_count,rejection_reason,headline,reasoning
FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,67.5,22,1,Certainty 22% below threshold (40%),"Anant Raj shares in focus on Rs 4,500-crore investment plan in Andhra Pradesh ","Detected 3 catalyst(s). Risks: Regulatory/probe risk, FX/currency risk. Evidence: Regulatory/probe risk: Anant Raj shares in focus on Rs 4,500-crore i"
WORTH,WORTH PERIPHERALS LIMITED,60.7,0,1,Certainty 0% below threshold (40%),"Godrej Properties set to launch properties worth ₹22,000-cr for sale in H2 FY26","Detected 3 catalyst(s). Risks: FX/currency risk. Evidence: FX/currency risk: Godrej Properties set to launch properties worth ₹22,000-cr for sale in H"
