Date,Open,High,Low,Close,Volume,ticker
2025-05-07,166.10000610351562,178.4499969482422,166.0500030517578,174.5500030517578,24000,URBAN.NS
2025-05-08,178.4499969482422,178.4499969482422,168.0,171.14999389648438,12000,URBAN.NS
2025-05-09,165.85000610351562,175.0,165.85000610351562,174.0,16800,URBAN.NS
2025-05-12,182.6999969482422,182.6999969482422,182.6999969482422,182.6999969482422,14400,URBAN.NS
2025-05-13,189.0,189.0,180.0,180.0,25600,URBAN.NS
2025-05-14,184.9499969482422,189.0,184.9499969482422,189.0,23200,URBAN.NS
2025-05-15,189.0500030517578,197.4499969482422,182.0500030517578,184.14999389648438,42400,URBAN.NS
2025-05-16,189.9499969482422,189.9499969482422,182.25,183.14999389648438,33600,URBAN.NS
2025-05-19,188.0,188.0,176.0,182.3000030517578,44000,URBAN.NS
2025-05-20,186.9499969482422,186.9499969482422,173.5500030517578,179.75,81600,URBAN.NS
2025-05-21,182.64999389648438,182.64999389648438,170.8000030517578,182.0,56000,URBAN.NS
2025-05-22,180.5,180.5,172.89999389648438,177.0,60800,URBAN.NS
2025-05-23,177.0,179.4499969482422,173.5500030517578,175.5,44800,URBAN.NS
2025-05-26,179.5,184.25,179.3000030517578,184.25,73600,URBAN.NS
2025-05-27,192.9499969482422,193.4499969482422,175.0500030517578,190.10000610351562,132000,URBAN.NS
2025-05-28,180.60000610351562,180.60000610351562,180.60000610351562,180.60000610351562,6400,URBAN.NS
2025-05-29,171.60000610351562,171.60000610351562,171.60000610351562,171.60000610351562,20800,URBAN.NS
2025-05-30,163.0500030517578,163.0500030517578,163.0500030517578,163.0500030517578,11200,URBAN.NS
2025-06-02,154.89999389648438,154.89999389648438,154.89999389648438,154.89999389648438,16800,URBAN.NS
2025-06-03,147.14999389648438,147.14999389648438,147.14999389648438,147.14999389648438,19200,URBAN.NS
2025-06-04,139.8000030517578,154.5,139.8000030517578,154.3000030517578,264800,URBAN.NS
2025-06-05,154.75,160.0,150.0,155.9499969482422,69600,URBAN.NS
2025-06-06,157.64999389648438,157.64999389648438,148.14999389648438,151.8000030517578,122400,URBAN.NS
2025-06-09,150.0,152.14999389648438,146.5,148.1999969482422,116000,URBAN.NS
2025-06-10,148.1999969482422,155.60000610351562,145.3000030517578,155.60000610351562,96800,URBAN.NS
2025-06-11,160.6999969482422,163.35000610351562,154.0,162.9499969482422,147200,URBAN.NS
2025-06-12,166.0500030517578,166.0500030517578,156.60000610351562,157.10000610351562,35200,URBAN.NS
2025-06-13,155.9499969482422,158.0,150.0,155.4499969482422,32000,URBAN.NS
2025-06-16,155.4499969482422,157.60000610351562,151.0500030517578,156.0,36000,URBAN.NS
2025-06-17,157.0,163.8000030517578,155.0,156.0,55200,URBAN.NS
2025-06-18,156.0,156.0,148.1999969482422,148.6999969482422,59200,URBAN.NS
